tstamp2,KW,CHWTON,CHWTON(KW),HTmmBTU,HTmmBTU(KW),Combined mmBTU,Combined mmBTU(KW),KW_PF,CHWTON_PF,HTmmBTU_PF,DHI,DNI,GHI,Dew Point,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2018-01-01T00:00:00.000,17007.47,2021.27,7117.147887,13.17,3873.529412,95.46,28076.47059,0.605755269,0.253491544,0.137963545,0,0,0,-10.5,1.5,0.8,69,19.23,12.3,972
2018-01-01T01:00:00.000,16742.88,1841.3,6483.450704,15.24,4482.352941,94.46,27782.35294,0.602644421,0.233365789,0.161338133,0,0,0,-10.9,1.5,0.8,69,19.14,11.9,972
2018-01-01T02:00:00.000,16874.22,1772.96,6242.816901,16.36,4811.764706,95.22,28005.88235,0.602524134,0.222910916,0.171812644,0,0,0,-11.2,1.5,0.8,68,19.895,11,972
2018-01-01T03:00:00.000,16892.98,1736.67,6115.035211,16.03,4714.705882,94.51,27797.05882,0.607725447,0.21998857,0.169611681,0,0,0,-11.4,1.55,0.9,70,20.85,10,972
2018-01-01T04:00:00.000,16939.45,1706.68,6009.43662,15.63,4597.058824,93.91,27620.58824,0.613290704,0.217570914,0.166435949,0,0,0,-11.7,1.6,0.9,72.5,21.435,9.3,972
2018-01-01T05:00:00.000,16859.28,1789.42,6300.774648,17.42,5123.529412,96.42,28358.82353,0.594498569,0.222180396,0.180667911,0,0,0,-11.9,1.6,0.9,73.5,21.785,8.85,972.5
2018-01-01T06:00:00.000,17098.73,1774.74,6249.084507,16.74,4923.529412,96.38,28347.05882,0.603192384,0.220449132,0.173687487,0,0,0,-12,1.6,0.9,72.5,21.985,8.55,973
2018-01-01T07:00:00.000,16692.38,1702.13,5993.415493,16.54,4864.705882,93.93,27626.47059,0.604216885,0.216944668,0.176088577,2.5,17.5,2,-12.1,1.75,0.9,73.5,20.685,9.4,973.5
2018-01-01T08:00:00.000,16234.35,1883.4,6631.690141,16.43,4832.352941,94.42,27770.58824,0.584587905,0.238802653,0.174009744,40.5,289.5,79,-11.6,2.2,0.9,76.5,16.71,13.15,974
2018-01-01T09:00:00.000,16287.53,2225.93,7837.78169,15.85,4661.764706,98.14,28864.70588,0.564271469,0.271535131,0.161503974,100.5,353,201,-11.9,2.95,0.9,80,12.68,17.1,974
2018-01-01T10:00:00.000,16043.05,2476.25,8719.190141,16.54,4864.705882,100.99,29702.94118,0.540116546,0.293546356,0.163778592,146.5,431.5,329.5,-11.5,1.95,0.9,89,10.74,20.3,974.5
2018-01-01T11:00:00.000,16551.63,2932.59,10326.02113,15.16,4458.823529,106.83,31420.58824,0.52677658,0.328638695,0.141907704,164,535,438.5,-11.5,0.85,0.9,123.5,9.035,23.05,974
2018-01-01T12:00:00.000,17217.75,3593.72,12653.94366,13.83,4067.647059,115.7,34029.41176,0.505966724,0.371853141,0.119533276,97,861,571.5,-11.8,0.4,0.9,218.5,8.05,24.6,973
2018-01-01T13:00:00.000,17328.97,3823.1,13461.61972,13.74,4041.176471,118.75,34926.47059,0.496155773,0.385427428,0.115705263,91,873,561.5,-12.1,1.1,0.9,256,7.535,25.35,972
2018-01-01T14:00:00.000,17392.53,4079.7,14365.14085,12.75,3750,121.05,35602.94118,0.488513854,0.403481858,0.105328377,87,825.5,481.5,-12.2,1.45,0.9,257,7.465,25.35,971
2018-01-01T15:00:00.000,17461.53,4177.7,14710.21127,11.14,3276.470588,120.86,35547.05882,0.491222919,0.413823584,0.092172762,78.5,734.5,346.5,-12.1,1.45,0.9,258.5,8.185,23.95,971
2018-01-01T16:00:00.000,17558.5,4181.8,14724.64789,10.71,3150,120.81,35532.35294,0.494155285,0.414401149,0.088651602,54.5,582,185,-8.3,0.9,0.9,260,12.97,21.3,971
2018-01-01T17:00:00.000,17523.02,4021.81,14161.30282,10.71,3150,118.76,34929.41176,0.501669485,0.405426318,0.090181879,18,147,29.5,-9.4,1.3,0.9,270,15.93,16.65,972
2018-01-01T18:00:00.000,17413.28,3695.72,13013.09859,16.57,4873.529412,120.33,35391.17647,0.492023203,0.367693304,0.137704646,0,0,0,-9.9,1.2,0.9,293.5,16.08,15.85,972
